comment,polarity,sentiment,emotion,comment_category
hypocrite,0.0,neutral,neutral,critical or negative feedback
god fight us😢😢,-0.7717,negative,anger,critical or negative feedback
blood based government may soul perished go vain😢,-0.7096,negative,sadness,critical or negative feedback
like agree kenyan government tried icc hague court documentary used evidence court,0.6124,positive,neutral,supportive or appreciative
vietnam stand kenya,0.0,neutral,neutral,supportive or appreciative
africa lethal force used innocent unarmed citizens😢,-0.1779,negative,anger,critical or negative feedback
remind u burst,0.0,neutral,anger,critical or negative feedback
fellow kenyan election come watch documentary week election go vote sober choice consequence even stay home choose vote consequence action aswell president ruto bought opposition hence forcing youth step opposition kenya government choose kenyan state v kenyan people could kenyan government v opposition,0.0,neutral,joy,informative or analytical
thumb 👍 👌 bbc showing whole world 🌎 god help u come u make right decision .🇰🇪 🇰🇪 🇰🇪,0.873,positive,sadness,supportive or appreciative
southern limpompo bar el gazel region sudan choose side kenyan power belongs people shall overcome,0.0,neutral,joy,supportive or appreciative
thank bbc kenyan 🇰🇪 soo sad mostly ashamed called leader stating unfortunate mistake president william ruto parliament police force sure order come yahuah hevenly father beast president blood wa spiled justified marciless killing child adult protect heartless people pay kenyan ⚖ yahuah mashyach life child unless repent yahuah mercifully forgive forget shalom,-0.8834,negative,sadness,critical or negative feedback
parliamentarian listened electorate could listen wise,0.4767,positive,neutral,supportive or appreciative
rest peace fallen soldier always remember blood wa shed always remember forget,0.0258,neutral,sadness,critical or negative feedback
kenyan 🇰🇪 heart still bleeding ✌️,0.6369,positive,sadness,supportive or appreciative
living corrupt system gezs know right kenya nation ca forget kenyan 😢😢,-0.7964,negative,sadness,critical or negative feedback
new mau mau,0.0,neutral,neutral,supportive or appreciative
ruto must go suffered 😢,-0.743,negative,sadness,critical or negative feedback
wa kikuyu u never see video never hope u write another documentary ya another culture rule kenya peace matter,0.2946,positive,neutral,supportive or appreciative
please help u remove liar fearsome president ruto😢,-0.6249,negative,fear,critical or negative feedback
speechless 😢 mozambique 🇲🇿,-0.4767,negative,fear,critical or negative feedback
blood wa shed 😢😢😢😢 god strength family,-0.7964,negative,neutral,critical or negative feedback
think book produced genzs war parliament,-0.5994,negative,neutral,informative or analytical
ademba forever remain hero remain hero year come year bbc sure really deceive award😭😭😭,0.2466,positive,sadness,critical or negative feedback
watching third time😭😭 wa day night💔 heartbreaking one wa account death happened🥲 justice prevail family affected😭 thank bbc airing this❤️ really appreciate work,-0.7787,negative,sadness,supportive or appreciative
word express need still work liberate kenyan,0.0,neutral,neutral,critical or negative feedback
sad day kenya,-0.4767,negative,sadness,critical or negative feedback
bbc colonist medium tell story u bed wicked african leader,-0.5267,negative,anger,critical or negative feedback
show documentary middle finger killed people transmara day documentary wa realised,-0.6705,negative,anger,critical or negative feedback
heartbreaking 😭😭😭some people heartless 😢,-0.9559,negative,sadness,critical or negative feedback
usa support gen z✊,0.4019,positive,neutral,supportive or appreciative
😢😢 happened humanity 😭😭,-0.9081,negative,neutral,critical or negative feedback
south sudan youth kenya stand kenya one love justice must prevailed,0.8225,positive,joy,supportive or appreciative
great exposé please one abduction happening kenya,0.3818,positive,neutral,informative or analytical
saying organized criminal weapon crazy,-0.7906,negative,anger,critical or negative feedback
bbc saying people dead killed people 😢😢😢😢,-0.969,negative,sadness,critical or negative feedback
australia stand kenyan,0.0,neutral,neutral,supportive or appreciative
bbc tell u happening gaza show u soul show u nairobi show u character support gazans,0.4019,positive,joy,supportive or appreciative
view like collective cry kenyan world saying u,-0.1531,negative,neutral,critical or negative feedback
im happy wa part protest get parliament least fought better kenya 🇰🇪,0.7623,positive,joy,supportive or appreciative
member parliament passed wa rejected panicking,-0.7351,negative,anger,critical or negative feedback
downloaded wa bbc really gave guy middle finger never happier adult life thank bbc showing world❤❤❤,0.9235,positive,joy,critical or negative feedback
trashed yoooh 😢how everything zero second unbelievable,-0.3182,negative,surprise,critical or negative feedback
true hero didnt deserve end god friend relative wa vain like mau mau,0.8169,positive,sadness,critical or negative feedback
never forget pain pains😢 kenya stand kenya kenya,0.3818,positive,sadness,critical or negative feedback
ruto one bloodthirsty fool 👺 pay dearly blood shed anti tax got assaulted police officer luckily ruto administration demand justice accountability,-0.0,neutral,anger,critical or negative feedback
day still raving mad heart bleeding tear ca stop flowing mourn country😭😭😭😭😭,-0.9552,negative,sadness,critical or negative feedback
thika road people killed sana hapo carwash could hear gunshot way girthurai😢😢😢 still traumatized date,-0.9477,negative,fear,critical or negative feedback
special prop designer cuz wa one heck investigation,0.4019,positive,neutral,supportive or appreciative
national anthem kenyans❤❤ ooh god creation bless land nation someone continue 😢😢,0.8481,positive,joy,supportive or appreciative
please remember please,0.5574,positive,neutral,supportive or appreciative
africa leader act raised person extremely power hungry ruthless,0.0,neutral,anger,critical or negative feedback
else touch,0.0,neutral,neutral,supportive or appreciative
international criminal court need justice 😢more people killed death recorded,-0.91,negative,sadness,critical or negative feedback
action kenyan government shocking leadership treat people like good thing world seeing truth documentary william ruto doe act like president serf people government doe operate interest citizen documentary deeply anger anyone heart time dictatorship,0.9131,positive,anger,critical or negative feedback
😭😭😭😭😭😭😭😭😭ruto power temporary lufe belongs god,-0.9771,negative,neutral,critical or negative feedback
hundred died githurai massacre please investigate bbc accept kasongo bribe,-0.128,negative,fear,critical or negative feedback
watching documentary mixed emotion happy sad time,0.1531,positive,sadness,critical or negative feedback
stand wid genz,0.0,neutral,neutral,supportive or appreciative
justice let guy find justice 😢,0.5719,positive,neutral,sarcastic or humorous
thanks sana bbc thought wa done thanks remembering,0.7003,positive,joy,supportive or appreciative
worst ethiopia,-0.6249,negative,disgust,critical or negative feedback
ademba hero🎉❤ love,0.9403,positive,neutral,supportive or appreciative
canada🇨🇦i stand kenyan,0.0,neutral,neutral,supportive or appreciative
watched video 😢and ready anything wo vote rito must go,-0.1531,negative,neutral,critical or negative feedback
proud british bbc air news like,0.6808,positive,joy,supportive or appreciative
heart bleeds mother say may god intervene.😭😭,0.0258,neutral,sadness,critical or negative feedback
ha full blood face ruto,0.34,positive,anger,critical or negative feedback
brave son nicknamed criminal 😢😢😢 god please never let anyone behind killing go unpunished helpless avengeous god please see broken heart 😭😭😭💔💔💔💔,-0.8934,negative,anger,critical or negative feedback
god unarmed kenya die like ha moved tear,0.2732,positive,sadness,critical or negative feedback
heart bleeds nation change condole kenyan,0.6369,positive,sadness,critical or negative feedback
remember day wasnt outside coz wa new mom saw everything live saddest day life justice justice justice may genz get justice one day 💔💔💔💔,0.9432,positive,sadness,supportive or appreciative
well done,0.2732,positive,neutral,supportive or appreciative
largest tribe ha made impossible ruto govern kenya sponsoring youth goon become unruly unless power kenya peace unfortunately rest tribe gullible wake folk see whats really going behind scene even matiangi wa endorsed big one uhuru made kenya bankrupt although took kibaki healthy economy ruto choice overtax clearly stated inherited empty coffer ha one contentious issue ha led bloodshed suffering mwananchi uhuru must throwing signature giggle watch whats unfolding sadly youth proverbial grass bull fighting,-0.0,neutral,sadness,critical or negative feedback
rest eternal peace fallen soldier untill meet still fight honour you✊🏿✊🏿,0.4767,positive,neutral,supportive or appreciative
really hurt lot 😢 need united come kenyan ❤🤍🖤💚,0.6302,positive,sadness,critical or negative feedback
biafra stand kenyan,0.0,neutral,neutral,supportive or appreciative
majirani hold strong praying peace kenya,0.8519,positive,joy,supportive or appreciative
else shading tear watching 😢😢😢 shall never forget kenyan,-0.8241,negative,sadness,supportive or appreciative
😢😢😢 shall revisit august kasongo relaunch sugoi,-0.8519,negative,neutral,sarcastic or humorous
yet responsible still office shame,-0.2023,negative,sadness,critical or negative feedback
rest easy youth daima nyinyi wakenya,0.4404,positive,neutral,supportive or appreciative
body shiver goodness,0.4588,positive,fear,supportive or appreciative
someone translate local language grandparent understand right thing,0.0,neutral,neutral,supportive or appreciative
nigerian 🇳🇬 stand kenya 🇰🇪 different happened nigeria endsars protest bbc africa please documentary,0.0772,positive,anger,critical or negative feedback
demonstrating one right kenya law per constitution justify marijuana smoking use kenya probably account death,-0.5994,negative,neutral,informative or analytical
need constant reminder year kenyan may keep remembering greed mean even put political leader power 😢😢😢,-0.9001,negative,anger,critical or negative feedback
ruto puppet must go,0.0,neutral,sadness,critical or negative feedback
blood parliament githurai massacre butere girl echo war shall never forget,-0.4997,negative,fear,critical or negative feedback
good bbcafrica perfect,0.765,positive,neutral,supportive or appreciative
let comrade send ruto home come,0.0,neutral,neutral,critical or negative feedback
motherland,0.0,neutral,neutral,supportive or appreciative
still enough evidence,0.0,neutral,neutral,informative or analytical
wah,0.0,neutral,neutral,supportive or appreciative
newyork stand kenyan,0.0,neutral,neutral,supportive or appreciative
watching much anger bitterness need superpower take man home home gave chance serve u turned u declared war people let u never forget many youth lost life,-0.873,negative,anger,critical or negative feedback
documentary come handy july awaken old feeling vote wisely,0.5106,positive,neutral,supportive or appreciative
justice delayed justice denied god one day shall serve justice,0.8176,positive,sadness,critical or negative feedback
awesome work even considering circumstance bbc truth saviour hate say,0.4019,positive,joy,critical or negative feedback
leader kalenjin elected fault,-0.4019,negative,anger,critical or negative feedback
namibia stand 🇳🇦,0.0,neutral,neutral,supportive or appreciative
friend lost old son iam piss till day ruto president ruto must go,-0.2023,negative,sadness,critical or negative feedback
singapore stand kenya,0.0,neutral,neutral,supportive or appreciative
somalia 🇸🇴 stand people kenya 🇰🇪,0.0,neutral,neutral,supportive or appreciative
lack word say😢 government really coming promise youth must go,-0.4256,negative,neutral,critical or negative feedback
watching come hate ruto untill date,-0.5719,negative,anger,critical or negative feedback
every one must watch,0.0,neutral,neutral,supportive or appreciative
wa top tier analysis brutal inhumane officer arraigned court matials way defending ruto must go pitty kenyan still vet,-0.5106,negative,anger,critical or negative feedback
gut watch 😢,-0.4767,negative,neutral,critical or negative feedback
reminds year dec upto ware relate see,0.0,neutral,neutral,supportive or appreciative
thanks kept 🎉,0.6808,positive,neutral,supportive or appreciative
uganda love wonder murderer sleep night long live kenya,-0.1027,negative,neutral,supportive or appreciative
thanks bbc kenya mwanaichi live fight another day better kenya,0.4939,positive,joy,supportive or appreciative
bbc ha done citizen national tv could congratulation 🙏🙏🙏🙏,0.743,positive,joy,supportive or appreciative
bbc trying destabalise country,0.0,neutral,neutral,critical or negative feedback
hope people remember video next coming election,0.4404,positive,neutral,supportive or appreciative
much pain anger bitterness sadness watching could hold back tear,-0.9118,negative,anger,critical or negative feedback
editer deserves respect,0.4767,positive,anger,supportive or appreciative
kenyan medium ball,0.0,neutral,neutral,supportive or appreciative
ca believe watched real life movie country hurts😭😭😭😭,-0.9382,negative,sadness,critical or negative feedback
vow never vote anything called sitting president downwards 😭😭😭😭😭never,-0.9382,negative,fear,critical or negative feedback
one live😢thanks bbc 🙏,-0.4767,negative,joy,supportive or appreciative
brings back memory ruto must goooooooooooooo,0.0,neutral,surprise,supportive or appreciative
even third thing happened may fallen hero continue resting peace,0.6808,positive,neutral,supportive or appreciative
sadly kenyan shame pathetic government stained parliament 😞,-0.9136,negative,sadness,critical or negative feedback
heart heavy,0.6369,positive,sadness,critical or negative feedback
people went much yet nothing ha changed someone must held accountable death others stay strong,-0.3891,negative,neutral,critical or negative feedback
bbc truly loyally serving america look timing ruto visited china bring investment develop kenya bashed usa bbc released documentary bbc release oh using blackmail stop ruto developing business relationship china want manipulate kenya controlling ruto kenyan let follow western medium trap support ruto develop kenya,0.6705,positive,joy,critical or negative feedback
watch heavy heart heart go mother father brother sister young men killed day😭this really hurt 😢,-0.7408,negative,sadness,critical or negative feedback
personal mr president,0.0,neutral,neutral,supportive or appreciative
justice shield defender wa ignored overlooked forgotten disregarded god mercy kenya,0.3612,positive,sadness,critical or negative feedback
😭😭i got weeping better lack president ruto,-0.8176,negative,sadness,critical or negative feedback
icc typing deleting,0.0,neutral,neutral,critical or negative feedback
tip iceberg atrocity happened,0.0,neutral,fear,critical or negative feedback
african leader democracy like mosquito take year,0.3612,positive,neutral,critical or negative feedback
major respect kenyan brother sister 🇿🇲🇿🇲🇿🇲🇿🇲✊🏿,0.5256,positive,neutral,supportive or appreciative
never thought would ever shed tear watching something youtube saddens,-0.4404,negative,sadness,critical or negative feedback
else watched cry 😭😭,-0.8519,negative,sadness,critical or negative feedback
really cried 😭😭😭 watching,-0.9092,negative,sadness,critical or negative feedback
hage court help u 😢,-0.1027,negative,anger,supportive or appreciative
share share share video make go viral niger 🇳🇪 stand kenya 🇰🇪 prayer hope day shall come,0.8176,positive,joy,supportive or appreciative
outraging😡 narrator ruto must go,-0.4588,negative,anger,critical or negative feedback
abduction denzel omondi jomo kenyatta university student also made parliament later found dead really shattered heart pieces😢😢.we wiii never forget,-0.9109,negative,sadness,critical or negative feedback
zambia stand kenya thank showing u boldness unity achievable thank showing u democracy people africa ubunthu heart bleeds life lost hero bbc salute,0.936,positive,sadness,supportive or appreciative
one day allah answer prayer,0.0,neutral,neutral,supportive or appreciative
comment people overthe world standing solidarity u kenyan overwhelmingly emotions😢😢 thank everyone may god bless you❤❤,0.8834,positive,joy,supportive or appreciative
please someone must investigate killed manner left like animal street 😢 praying brother sister kenya may god guidance upon ❤❤❤,0.9246,positive,fear,question or inquiry
😢so painful paying tax corruption increasing value tax paid,-0.5574,negative,sadness,critical or negative feedback
kenya one smooth❤,0.6369,positive,neutral,supportive or appreciative
uk 🇬🇧 happy,0.5719,positive,joy,supportive or appreciative
got tear saddest movie justice people justice blood spilt💔💔💔💔💔,0.8834,positive,sadness,critical or negative feedback
never forgive forget.😢😢,-0.1764,negative,neutral,critical or negative feedback
somalia stand kenya,0.0,neutral,neutral,supportive or appreciative
coming soon comrade ruto must go,0.0,neutral,sadness,critical or negative feedback
ireland stand kenyan much love,0.6369,positive,neutral,supportive or appreciative
indeed criminal hijacked demonstration,-0.4588,negative,anger,critical or negative feedback
want video aired social medium platform country much possible inform ignorants aim unmasking kasongo,0.0772,positive,neutral,informative or analytical
un stupid organization called muhari mombasa saw protesting palestinian never saw protesting gez z wakenya wacheni kubebwa ujinga,-0.5951,negative,anger,critical or negative feedback
good job bbc,0.4404,positive,joy,supportive or appreciative
mark left remembered kenyan history young generation liberated nation hero may still live peace every thing wa written wall mene mene teker god take life also wa soo sad even disappeared since,0.6369,positive,sadness,critical or negative feedback
violence needed go poll ruto right invasion necessary doe change anything today,-0.6249,negative,anger,critical or negative feedback
oooh god protect country heart heavy 😢😢,0.4019,positive,surprise,critical or negative feedback
bbc fails report right next parliament building nairobi mausoleum kenya founding father late mzee jomo kenyatta premise within parliament ground ever since mausoleum ha guarded military ceremonial guard bbc british medium house get fcs right kdf standing order order written british get yoour fcts right publish,-0.1027,negative,sadness,critical or negative feedback
never seen spooky documentary 😢😢😢😢😢😢 cry toppest voice😪😭😭😭😭😭,-0.9884,negative,fear,critical or negative feedback
tanzania behind,0.0,neutral,neutral,critical or negative feedback
leader killing people may god help u kenya🇰🇪,-0.1531,negative,sadness,critical or negative feedback
soo traumatizing 😭god vengeance 🙏i pray justice nation,-0.1779,negative,fear,critical or negative feedback
someone heartless heart piece moment rip hero,0.6808,positive,anger,critical or negative feedback
big babu owino 🎉,0.4019,positive,neutral,supportive or appreciative
good governance accountability gen z fighting god god keep u vote regime kill child,-0.2732,negative,anger,critical or negative feedback
never cried country like read comment foreigner,0.0191,neutral,neutral,critical or negative feedback
ha reckoning everything changed day,0.34,positive,surprise,sarcastic or humorous
thank bbc thank much government ruto know kenya mum,0.6124,positive,joy,supportive or appreciative
bbc world,0.0,neutral,neutral,supportive or appreciative
big baby owino god bless,0.5994,positive,joy,supportive or appreciative
united state stand kenyan gen z,0.4215,positive,neutral,supportive or appreciative
well prepared produced yeah,0.6369,positive,neutral,supportive or appreciative
know still tear left event wa sorrowful,-0.4939,negative,sadness,critical or negative feedback
zimbabwe wa gukurahundi genocide one ha arrested also august killing arrest africa africa africa,-0.8176,negative,anger,critical or negative feedback
people still vote government 2027😡 failure,-0.5106,negative,sadness,critical or negative feedback
mwiki l stand kenyan,0.4588,positive,neutral,supportive or appreciative
doe even come close anglophone crisis cameroon 😢😢,-0.8834,negative,neutral,critical or negative feedback
work formed deputy rigathi gachagua 😅😅,0.6124,positive,neutral,sarcastic or humorous
never forget lost life 🙏😥😥,0.343,positive,sadness,critical or negative feedback
wish half heart ethiopia,0.7845,positive,neutral,critical or negative feedback
usa stand tou kenyan,0.0,neutral,neutral,supportive or appreciative
ruto go anywhere even uhuru killed many youth let stop habit coz kikuyus,-0.7717,negative,neutral,critical or negative feedback
history kenya lovely kenyan citizen right peaceful demonstration witnessed wa unfortunate youth play bivotal role country happen u kenyan upon shoulder president ruto waiting come,0.7783,positive,sadness,supportive or appreciative
youth used politician kenya period regulation incase anything force must used,0.0,neutral,fear,critical or negative feedback
thanks bbc god work real evidence time come come light,0.6124,positive,joy,supportive or appreciative
living abroad work stand fellow kenyan thank bbc,0.3612,positive,joy,supportive or appreciative
heartbreaking see people child life cut short forever 😢 painful watch necessary need seen absolutely everyone,-0.8779,negative,sadness,critical or negative feedback
heart blooding kenya country,0.6369,positive,sadness,supportive or appreciative
time factor otherwise ruto must go,0.0,neutral,neutral,critical or negative feedback
injustice show need step fight ca 😢😢drop like agree,-0.8176,negative,neutral,critical or negative feedback
ward god know painful 😢 thank bbc ❤,0.4215,positive,sadness,supportive or appreciative
ruto resign,-0.34,negative,sadness,critical or negative feedback
bangladesh stand kenyans❤🇰🇪,0.0,neutral,neutral,supportive or appreciative
kenya becomes like congo never want hear bbc,0.3134,positive,neutral,critical or negative feedback
cry eye out😢😢,-0.8519,negative,neutral,critical or negative feedback
whole president calling citizen fighting bill violates right people criminal terrorist power,-0.9313,negative,anger,critical or negative feedback
come restoration power demand,-0.128,negative,surprise,supportive or appreciative
😢very sad,-0.7351,negative,sadness,critical or negative feedback
thanks bbc revealing documentary also social medium television due fear could reveal 🇰🇪🇰🇪daima,-0.0772,negative,fear,supportive or appreciative
sure guy mkono kwa mkono hawatuezi another season waeke bunduki chini wakuje one one,0.3182,positive,neutral,supportive or appreciative
martyr video hold day like think deeply one lost even weep portal bloodshed still awake alive spilling innocent flesh country born day like grieve hope feel never born sorry fight lost please forgive u must,0.7599,positive,sadness,critical or negative feedback
cry watching,-0.4767,negative,sadness,critical or negative feedback
kenyan watch video everyday,0.0,neutral,neutral,supportive or appreciative
never forget💔 10/20🕊️ fallen hero sorry gave blood sanctify sin commit,-0.1896,negative,sadness,critical or negative feedback
wa sad,-0.4767,negative,sadness,critical or negative feedback
bbc great job video left tears🥹🥹 kenyan deserves justice,0.8176,positive,sadness,supportive or appreciative
ruto must indeed go thank bbc goated,0.3612,positive,neutral,supportive or appreciative
watching second time,0.0,neutral,neutral,supportive or appreciative
internet never forgets,0.0,neutral,sadness,supportive or appreciative
kenyan expect voting couple crime case icc eh mad,-0.7717,negative,neutral,critical or negative feedback
lord heal family lost loved one,0.3818,positive,sadness,supportive or appreciative
need fellow youth responsible wellbeing common person babu owino president,0.3182,positive,neutral,supportive or appreciative
left critical part outside,-0.3182,negative,neutral,critical or negative feedback
something kenyan remember ruto come,0.0,neutral,neutral,supportive or appreciative
sarafina movie,0.0,neutral,neutral,supportive or appreciative
fear comment lead u abduction,-0.7906,negative,fear,critical or negative feedback
documentary forever kenyan history🇰🇪,0.0,neutral,neutral,supportive or appreciative
ruto like ushago people clueless vote back regardless,0.0,neutral,neutral,critical or negative feedback
ruto dictator kenyan wish god help mother land,0.7579,positive,neutral,critical or negative feedback
thank much say tongue much voice🙏,0.3612,positive,neutral,supportive or appreciative
listening ruto exhausting,-0.3612,negative,sadness,critical or negative feedback
ruto directly responsible died one ordered killing gen z much ruto buck stop door step must resign go home sugoi,-0.8834,negative,sadness,critical or negative feedback
man behind said whether kenyan like still president kenya bbcafrica,0.3612,positive,neutral,question or inquiry
ruto must go vote matter man must leave good,0.4215,positive,neutral,supportive or appreciative
heart aching tear watching police officer child relative government feel heart heavy may action hount lofe,0.7351,positive,sadness,critical or negative feedback
national international online solemn assembly every second video moment silence,-0.0772,negative,fear,critical or negative feedback
good played althrough kenyan easily forget,0.7003,positive,neutral,supportive or appreciative
sad young kenyan lost life someone trying dictator 😢 thank bbc airing shall never fit president,-0.797,negative,sadness,critical or negative feedback
even someone enemy speak truth use enmity excuse hide hostility doe cleanse wrongdoing kenyan parliament use hostility toward western nation reason conceal dismiss truth people lost loved one,-0.6908,negative,anger,critical or negative feedback
baba bbc bribed 😅😅those story british colony sijui wacheni thing iko,0.6124,positive,neutral,sarcastic or humorous
may soul fallen hero haunt kenyan politician graf,-0.1531,negative,sadness,critical or negative feedback
seen one talking death githurai,-0.5994,negative,surprise,critical or negative feedback
wound still fresh 😢 day coming,-0.2023,negative,neutral,critical or negative feedback
proud kenyan gen still willing die❤ anything country life hard,0.4588,positive,joy,supportive or appreciative
thank bbc africa,0.3612,positive,neutral,supportive or appreciative
congo stand kenya 🇰🇪🇰🇪,0.0,neutral,neutral,supportive or appreciative
devastated 🇰🇪🇰🇪 guy must go 😭😭😭,-0.9231,negative,sadness,critical or negative feedback
unfortunate event june must remain etched memory remember gallant youth men woman stood marched fearlessly voice heard,0.2023,positive,fear,critical or negative feedback
malawi stand kenyan 💪 viva kenya ✊,0.0,neutral,joy,supportive or appreciative
ruto butcher president peace shall never,0.5423,positive,anger,critical or negative feedback
bbc medium group kenya could,0.0,neutral,neutral,supportive or appreciative
sad word,-0.4767,negative,sadness,critical or negative feedback
thinking youth peace security unscr,0.7096,positive,anger,critical or negative feedback
justice ruto icc😢,0.0772,positive,anger,critical or negative feedback
clip reposted august,0.0,neutral,neutral,supportive or appreciative
watch heavy heart ruto definitely need held accountable sure people deserve justice sorry put babu owino try murder someone club smart,0.8519,positive,sadness,critical or negative feedback
ethiopia stand kenya zakayo lazma ashuke,0.0,neutral,neutral,supportive or appreciative
never forget power seen yapping parliament without mercy culprit put book matter time let remind power transient drunk power forgetting people put represent u justice shield defender near future,0.2631,positive,anger,critical or negative feedback
kicc case,0.0,neutral,neutral,critical or negative feedback
every time watch documentary ca help shed tear pain truth hit deep,0.1779,positive,sadness,critical or negative feedback
please everybody tag icc hague criminal court get justice u kenyan,0.3182,positive,neutral,supportive or appreciative
kenya refugee love kenya second home ❤❤❤ please kenyan avoid distraction listening propaganda western country greedy politician country fueling tension country documentary wa meant increase instability kenya somali destroyed country protesting democracy freedom wa funded foreign people million people died nothing remember poor government better lack government ❤peace_peace❤,0.9428,positive,anger,supportive or appreciative
eeeeeh kenya painful even safe country,0.0,neutral,sadness,critical or negative feedback
even tired cry much,-0.7184,negative,sadness,critical or negative feedback
somalia🇸🇴 stand strongly kenya genz 🇰🇪 god blessed kenya youth,0.7964,positive,joy,supportive or appreciative
literally cried heart heavy lord please hear us😢,0.2023,positive,sadness,critical or negative feedback
took two day bring watch second started 😢 tear rolled cut deep ruto ha long overstayed welcome,0.0516,positive,neutral,critical or negative feedback
thank bbc africa documentary wa street exactly 💯 happened went yo demonstrate hard reality facing yet uhuru forget forgiving💔💔😭 ruto muuaji mwizi muuaji muogo pay true liberation coming soon,0.6808,positive,sadness,supportive or appreciative
saddest documentary lifetime sad understatement,-0.7964,negative,sadness,critical or negative feedback
ruto must go go forever want 🇰🇪,0.0772,positive,neutral,supportive or appreciative
someone participated protest witnessed bloody scene permanently affect psychological life yet government still nothing ha changed except killing strategy behind scene hunted one one wo let u go another protest arises would still go without second thought loose ruto ha already grabbed everything robbed even mental state health respect fallen soldier 😔😭😭😭,-0.9466,negative,anger,critical or negative feedback
stand country,0.0,neutral,neutral,supportive or appreciative
kenya harsh marriage need divorce,-0.4404,negative,anger,critical or negative feedback
minute video hand organised criminal seriouslyyyy,-0.0516,negative,fear,critical or negative feedback
wish update documentary coming year specifically august 🙏🏿💔,0.5859,positive,neutral,supportive or appreciative
kindy replay day election,0.0,neutral,neutral,supportive or appreciative
good job bbc please also make documentary massacre committed apartheid republic zionistan story would trump story number astronomical,0.765,positive,fear,supportive or appreciative
thank bbcafrica documentary kindly translate swahili,0.6908,positive,joy,supportive or appreciative
raila betrayed genzeee greed power,-0.7717,negative,anger,critical or negative feedback
fight soul country,-0.3818,negative,neutral,critical or negative feedback
thank documentary show everything,0.3612,positive,surprise,supportive or appreciative
freedom come price shall never forget price peer paid😢the ruling class pay someday,0.3326,positive,neutral,critical or negative feedback
wee u parent cry young soul deserve ending 😢😢😢,-0.9081,negative,sadness,critical or negative feedback
stand stand stand rights🇰🇪✋,0.4939,positive,neutral,supportive or appreciative
almost view,0.0,neutral,neutral,supportive or appreciative
one day shall come end,0.0,neutral,sadness,critical or negative feedback
detail 😢,-0.4767,negative,neutral,sarcastic or humorous
soon believe mutated,0.0,neutral,neutral,critical or negative feedback
murima lost loved one take heart dehumanizing,0.5267,positive,disgust,critical or negative feedback
video got emotional level speechless 😢😢😢😢😊,-0.7003,negative,fear,supportive or appreciative
sincerely hate government system rotten despicable,-0.5994,negative,anger,critical or negative feedback
runako celina amazing job narrating,0.5859,positive,surprise,supportive or appreciative
wa ground fateful day could good samaritan motorist helped get far away cbd despite block police confrontation thika super highway time public vehicle,0.8798,positive,fear,question or inquiry
seeing picture eric kenyan flag head boy carrying 😢😢😢😢😢,-0.9382,negative,joy,sarcastic or humorous
easy remember many young people killed genz hero,0.25,positive,sadness,supportive or appreciative
else wish superpower remove office 😢,-0.1027,negative,sadness,critical or negative feedback
mother never burry child espcially n manner heartbreaking,-0.4588,negative,sadness,critical or negative feedback
namibia 🇳🇦 stand kenya🇰🇪,0.0,neutral,neutral,supportive or appreciative
mbona pia wewe unakopa manage sake tomorrow,0.0,neutral,neutral,supportive or appreciative
really still painfully hurting 😢😢😢😢 🇰🇪 may god heal u,-0.9512,negative,sadness,critical or negative feedback
wept watching heart heavy right even begin fathom may almighty god rest soul hero peace 😢,0.8074,positive,fear,critical or negative feedback
well done bbc fantastic investigative work,0.6908,positive,joy,supportive or appreciative
bbc ha accused one sided cover part youth set section parliament fire peaceful protester invades parliament set fire though,-0.1027,negative,anger,critical or negative feedback
month june symbol defiance struggle import event june nairobi replica happened tiananmen square china june long live defiant spirit struggle,-0.5859,negative,anger,informative or analytical
rest power fallen kenyan hero death wa vain thank bbc,-0.4767,negative,sadness,supportive or appreciative
rest power comrade thank bbc,0.3612,positive,neutral,supportive or appreciative
kenyan politician fucked sad everyone 😢,-0.891,negative,sadness,critical or negative feedback
bbc blood parliament shed light shocking event around finance bill protest many disturbing development remain uninvestigated urgently needed especially light incoming finance bill risk repeating cycle public exclusion government overreach elite impunity unanswered question remain happened documentary end june internet shutdown reported extrajudicial killing secret cremation branded traitor later absorbed government role also serious concern cabinet reshuffle seem prioritize political loyalty competence ordinary citizen continue suffer without meaningful reform many stood right paid ultimate price yet capitalized chaos thrive blood parliament part two could help ensure full truth come history quietly rewritten bbcafrica,-0.9333,negative,fear,critical or negative feedback
ruto murderer killer icc must act,-0.872,negative,anger,critical or negative feedback
ruto must go go good,0.4404,positive,neutral,supportive or appreciative
june national holiday honour fallen gen z🙏,0.5994,positive,sadness,supportive or appreciative
today blood parliament scam executive project,-0.5719,negative,fear,critical or negative feedback
kenyan angry enough must stand united impunity fight justice fallen hero staying silent simply complicit either oppressor oppressed,-0.1779,negative,anger,critical or negative feedback
kenyan fully support done saw happen 😭😭,-0.4951,negative,neutral,supportive or appreciative
cry 😭😭😭 sad ruto please enough,-0.9217,negative,sadness,critical or negative feedback
tanzania stand kenya whole africa 😪😪 second liberation africa way 🫡🫡,0.0,neutral,neutral,sarcastic or humorous
cry watching this😭,-0.7351,negative,sadness,critical or negative feedback
pinocchio must go,0.0,neutral,sadness,critical or negative feedback
people kenya never forget happened child brother sister thank bbc next time vote wise vote competency,0.7404,positive,neutral,supportive or appreciative
simple ruto must go,0.0,neutral,sadness,critical or negative feedback
said done next plan action 🤔,0.0,neutral,neutral,sarcastic or humorous
